feature,importance
value_rolling_mean_4,0.34302938
value_rolling_max_4,0.3377044
value_lag_1,0.23804945
value_rolling_min_4,0.041966997
weekly_rate,0.013385625
us_total_rolling_std_8,0.007304474
value_rolling_std_4,0.005001957
value_rolling_std_8,0.0029451437
week_of_year,0.0023656404
value_trend_4w,0.001661772
us_total_rolling_std_4,0.0015661194
value_rolling_min_8,0.0015043447
recent_vs_historical,0.0010245165
value_lag_8,0.00030225998
day_of_year,0.00025814486
us_total_lag_1,0.0002546063
month,0.00023139532
us_total_lag_4,0.00022768964
us_total_rolling_mean_8,0.00019794439
value_lag_3,0.00019523084
value_rolling_max_8,0.0001388062
year,0.00011711094
week_sin,0.00011587918
us_total_lag_3,9.997502e-05
us_total_lag_2,8.4244e-05
value_lag_2,6.333584e-05
day_cos,4.7613765e-05
value_rolling_mean_8,4.131299e-05
week_cos,3.12831e-05
location_name,1.9860343e-05
day_sin,1.807338e-05
value_lag_4,1.760513e-05
month_sin,1.0030277e-05
month_cos,7.2325306e-06
us_total_rolling_mean_4,6.807708e-06
value_lag_12,3.7935135e-06
