location,cutoff_date,forecast_date,forecast_week,forecast
01,2024-11-02,2024-11-09,1,19.08958625793457
01,2024-11-02,2024-11-16,2,31.256555557250977
01,2024-11-02,2024-11-23,3,50.577423095703125
01,2024-11-02,2024-11-30,4,78.1641845703125
02,2024-11-02,2024-11-09,1,8.546826362609863
02,2024-11-02,2024-11-16,2,14.4573974609375
02,2024-11-02,2024-11-23,3,29.04310417175293
02,2024-11-02,2024-11-30,4,27.249361038208008
04,2024-11-02,2024-11-09,1,176.32635498046875
04,2024-11-02,2024-11-16,2,289.3383483886719
04,2024-11-02,2024-11-23,3,262.33001708984375
04,2024-11-02,2024-11-30,4,710.7572021484375
05,2024-11-02,2024-11-09,1,9.27158260345459
05,2024-11-02,2024-11-16,2,26.739530563354492
05,2024-11-02,2024-11-23,3,31.589759826660156
05,2024-11-02,2024-11-30,4,30.37383460998535
06,2024-11-02,2024-11-09,1,170.8534698486328
06,2024-11-02,2024-11-16,2,265.774658203125
06,2024-11-02,2024-11-23,3,409.81842041015625
06,2024-11-02,2024-11-30,4,508.1724853515625
08,2024-11-02,2024-11-09,1,32.10824203491211
08,2024-11-02,2024-11-16,2,58.33366775512695
08,2024-11-02,2024-11-23,3,86.80878448486328
08,2024-11-02,2024-11-30,4,112.47607421875
09,2024-11-02,2024-11-09,1,13.88426399230957
09,2024-11-02,2024-11-16,2,24.6058292388916
09,2024-11-02,2024-11-23,3,30.43914222717285
09,2024-11-02,2024-11-30,4,37.585147857666016
10,2024-11-02,2024-11-09,1,4.262923240661621
10,2024-11-02,2024-11-16,2,9.760343551635742
10,2024-11-02,2024-11-23,3,15.277342796325684
10,2024-11-02,2024-11-30,4,20.33405303955078
11,2024-11-02,2024-11-09,1,11.981609344482422
11,2024-11-02,2024-11-16,2,9.221232414245605
11,2024-11-02,2024-11-23,3,15.436789512634277
11,2024-11-02,2024-11-30,4,21.746280670166016
12,2024-11-02,2024-11-09,1,180.55859375
12,2024-11-02,2024-11-16,2,256.99786376953125
12,2024-11-02,2024-11-23,3,360.52606201171875
12,2024-11-02,2024-11-30,4,512.4956665039062
13,2024-11-02,2024-11-09,1,25.520442962646484
13,2024-11-02,2024-11-16,2,36.782222747802734
13,2024-11-02,2024-11-23,3,61.98731994628906
13,2024-11-02,2024-11-30,4,98.0687026977539
15,2024-11-02,2024-11-09,1,4.949556827545166
15,2024-11-02,2024-11-16,2,10.298203468322754
15,2024-11-02,2024-11-23,3,17.26170539855957
15,2024-11-02,2024-11-30,4,25.178730010986328
16,2024-11-02,2024-11-09,1,4.240290641784668
16,2024-11-02,2024-11-16,2,11.97400951385498
16,2024-11-02,2024-11-23,3,25.23609733581543
16,2024-11-02,2024-11-30,4,28.89419937133789
17,2024-11-02,2024-11-09,1,35.102210998535156
17,2024-11-02,2024-11-16,2,64.18851470947266
17,2024-11-02,2024-11-23,3,109.21685791015625
17,2024-11-02,2024-11-30,4,150.3811492919922
18,2024-11-02,2024-11-09,1,23.938169479370117
18,2024-11-02,2024-11-16,2,36.0989875793457
18,2024-11-02,2024-11-23,3,52.32646179199219
18,2024-11-02,2024-11-30,4,90.01434326171875
19,2024-11-02,2024-11-09,1,6.576197147369385
19,2024-11-02,2024-11-16,2,14.234259605407715
19,2024-11-02,2024-11-23,3,22.89653968811035
19,2024-11-02,2024-11-30,4,31.171510696411133
20,2024-11-02,2024-11-09,1,14.997023582458496
20,2024-11-02,2024-11-16,2,25.718290328979492
20,2024-11-02,2024-11-23,3,50.12344741821289
20,2024-11-02,2024-11-30,4,87.77568054199219
21,2024-11-02,2024-11-09,1,10.74431324005127
21,2024-11-02,2024-11-16,2,18.10388946533203
21,2024-11-02,2024-11-23,3,34.98311233520508
21,2024-11-02,2024-11-30,4,43.31389236450195
22,2024-11-02,2024-11-09,1,36.535972595214844
22,2024-11-02,2024-11-16,2,64.57394409179688
22,2024-11-02,2024-11-23,3,91.17326354980469
22,2024-11-02,2024-11-30,4,123.40789031982422
23,2024-11-02,2024-11-09,1,4.262923240661621
23,2024-11-02,2024-11-16,2,14.771001815795898
23,2024-11-02,2024-11-23,3,14.749822616577148
23,2024-11-02,2024-11-30,4,18.287708282470703
24,2024-11-02,2024-11-09,1,7.107795715332031
24,2024-11-02,2024-11-16,2,13.39271354675293
24,2024-11-02,2024-11-23,3,20.831275939941406
24,2024-11-02,2024-11-30,4,27.371295928955078
25,2024-11-02,2024-11-09,1,6.137603282928467
25,2024-11-02,2024-11-16,2,13.356621742248535
25,2024-11-02,2024-11-23,3,18.382537841796875
25,2024-11-02,2024-11-30,4,21.64385414123535
26,2024-11-02,2024-11-09,1,11.048141479492188
26,2024-11-02,2024-11-16,2,16.600282669067383
26,2024-11-02,2024-11-23,3,23.604656219482422
26,2024-11-02,2024-11-30,4,34.497642517089844
27,2024-11-02,2024-11-09,1,18.3254337310791
27,2024-11-02,2024-11-16,2,35.90353775024414
27,2024-11-02,2024-11-23,3,54.25273895263672
27,2024-11-02,2024-11-30,4,85.01042938232422
28,2024-11-02,2024-11-09,1,22.18438720703125
28,2024-11-02,2024-11-16,2,30.92104148864746
28,2024-11-02,2024-11-23,3,48.28776550292969
28,2024-11-02,2024-11-30,4,46.43782043457031
29,2024-11-02,2024-11-09,1,22.718860626220703
29,2024-11-02,2024-11-16,2,32.136837005615234
29,2024-11-02,2024-11-23,3,56.94713592529297
29,2024-11-02,2024-11-30,4,92.38743591308594
30,2024-11-02,2024-11-09,1,4.264188289642334
30,2024-11-02,2024-11-16,2,8.484748840332031
30,2024-11-02,2024-11-23,3,14.492655754089355
30,2024-11-02,2024-11-30,4,19.331130981445312
31,2024-11-02,2024-11-09,1,5.621557235717773
31,2024-11-02,2024-11-16,2,9.87557601928711
31,2024-11-02,2024-11-23,3,15.871452331542969
31,2024-11-02,2024-11-30,4,23.207895278930664
32,2024-11-02,2024-11-09,1,15.471808433532715
32,2024-11-02,2024-11-16,2,27.26960563659668
32,2024-11-02,2024-11-23,3,42.135929107666016
32,2024-11-02,2024-11-30,4,62.57746887207031
33,2024-11-02,2024-11-09,1,5.1926093101501465
33,2024-11-02,2024-11-16,2,8.66915225982666
33,2024-11-02,2024-11-23,3,16.02402114868164
33,2024-11-02,2024-11-30,4,20.809429168701172
34,2024-11-02,2024-11-09,1,36.41293716430664
34,2024-11-02,2024-11-16,2,51.495906829833984
34,2024-11-02,2024-11-23,3,97.93708801269531
34,2024-11-02,2024-11-30,4,134.01815795898438
35,2024-11-02,2024-11-09,1,11.993330001831055
35,2024-11-02,2024-11-16,2,13.780332565307617
35,2024-11-02,2024-11-23,3,30.33795166015625
35,2024-11-02,2024-11-30,4,53.93357467651367
36,2024-11-02,2024-11-09,1,25.877614974975586
36,2024-11-02,2024-11-16,2,31.050582885742188
36,2024-11-02,2024-11-23,3,46.91485595703125
36,2024-11-02,2024-11-30,4,75.75445556640625
37,2024-11-02,2024-11-09,1,30.009204864501953
37,2024-11-02,2024-11-16,2,54.16908264160156
37,2024-11-02,2024-11-23,3,81.13104248046875
37,2024-11-02,2024-11-30,4,145.91748046875
38,2024-11-02,2024-11-09,1,4.071472644805908
38,2024-11-02,2024-11-16,2,9.094339370727539
38,2024-11-02,2024-11-23,3,15.204824447631836
38,2024-11-02,2024-11-30,4,24.7248477935791
39,2024-11-02,2024-11-09,1,54.799537658691406
39,2024-11-02,2024-11-16,2,67.16844940185547
39,2024-11-02,2024-11-23,3,122.77022552490234
39,2024-11-02,2024-11-30,4,194.54627990722656
40,2024-11-02,2024-11-09,1,6.938235759735107
40,2024-11-02,2024-11-16,2,14.793700218200684
40,2024-11-02,2024-11-23,3,23.275009155273438
40,2024-11-02,2024-11-30,4,40.463966369628906
41,2024-11-02,2024-11-09,1,9.996705055236816
41,2024-11-02,2024-11-16,2,14.52858829498291
41,2024-11-02,2024-11-23,3,23.933116912841797
41,2024-11-02,2024-11-30,4,48.28252410888672
42,2024-11-02,2024-11-09,1,81.70977783203125
42,2024-11-02,2024-11-16,2,133.70477294921875
42,2024-11-02,2024-11-23,3,205.1852569580078
42,2024-11-02,2024-11-30,4,350.88861083984375
44,2024-11-02,2024-11-09,1,3.981433153152466
44,2024-11-02,2024-11-16,2,8.069062232971191
44,2024-11-02,2024-11-23,3,16.995023727416992
44,2024-11-02,2024-11-30,4,17.375350952148438
45,2024-11-02,2024-11-09,1,13.339605331420898
45,2024-11-02,2024-11-16,2,26.404977798461914
45,2024-11-02,2024-11-23,3,44.310028076171875
45,2024-11-02,2024-11-30,4,62.42341232299805
46,2024-11-02,2024-11-09,1,4.522099018096924
46,2024-11-02,2024-11-16,2,8.265058517456055
46,2024-11-02,2024-11-23,3,15.349039077758789
46,2024-11-02,2024-11-30,4,17.08445930480957
47,2024-11-02,2024-11-09,1,62.14894485473633
47,2024-11-02,2024-11-16,2,95.22183227539062
47,2024-11-02,2024-11-23,3,154.7729034423828
47,2024-11-02,2024-11-30,4,191.9121856689453
