location,cutoff_date,forecast_date,forecast_week,horizon,forecast,predicted,predicted_q05,predicted_q25,predicted_q50,predicted_q75,predicted_q95,reference_date,target_end_date,model_family
01,2025-10-04,2025-10-11,1,1,18.75316888536073,18.75316888536073,7.217708837587287,12.284859212681347,18.75316888536073,25.22147855804011,30.28862893313417,2025-10-04,2025-10-11,mlf_lightgbm
01,2025-10-04,2025-10-18,2,2,17.980299342656785,17.980299342656785,9.221993952595945,11.384841971369983,17.980299342656785,24.575756713943587,26.738604732717626,2025-10-04,2025-10-18,mlf_lightgbm
01,2025-10-04,2025-10-25,3,3,17.692234410183374,17.692234410183374,5.838084090235317,13.160364063804858,17.692234410183374,22.224104756561893,29.546384730131432,2025-10-04,2025-10-25,mlf_lightgbm
01,2025-10-04,2025-11-01,4,4,18.060975693822108,18.060975693822108,8.233290104648837,12.026389745525968,18.060975693822108,24.09556164211825,27.888661282995376,2025-10-04,2025-11-01,mlf_lightgbm
02,2025-10-04,2025-10-11,1,1,2.2671705207867436,2.2671705207867436,0.0,0.0,2.2671705207867436,6.410368295736101,11.104602886701743,2025-10-04,2025-10-11,mlf_lightgbm
02,2025-10-04,2025-10-18,2,2,2.2914773703197606,2.2914773703197606,0.0,0.9721538024226097,2.2914773703197606,3.6108009382169115,5.935338654857548,2025-10-04,2025-10-18,mlf_lightgbm
02,2025-10-04,2025-10-25,3,3,2.0392932637058503,2.0392932637058503,0.0,1.4025897971505878,2.0392932637058503,2.6759967302611125,5.930893909967165,2025-10-04,2025-10-25,mlf_lightgbm
02,2025-10-04,2025-11-01,4,4,2.0392932637058503,2.0392932637058503,0.0,1.4148062009472213,2.0392932637058503,2.6637803264644795,5.743679197142386,2025-10-04,2025-11-01,mlf_lightgbm
04,2025-10-04,2025-10-11,1,1,17.826489990335176,17.826489990335176,6.482578285664369,11.789810929123925,17.826489990335176,23.863169051546425,29.170401695005978,2025-10-04,2025-10-11,mlf_lightgbm
04,2025-10-04,2025-10-18,2,2,18.46788614698921,18.46788614698921,3.449543641405797,12.714894271614495,18.46788614698921,24.22087802236392,33.48622865257262,2025-10-04,2025-10-18,mlf_lightgbm
04,2025-10-04,2025-10-25,3,3,31.4914462125422,31.4914462125422,17.783667719957506,27.16761919524194,31.4914462125422,35.81527322984246,45.199224705126895,2025-10-04,2025-10-25,mlf_lightgbm
04,2025-10-04,2025-11-01,4,4,38.997713759676536,38.997713759676536,32.82808144750242,36.06694494769885,38.997713759676536,41.92848257165422,45.16734607185065,2025-10-04,2025-11-01,mlf_lightgbm
05,2025-10-04,2025-10-11,1,1,4.3419777722068575,4.3419777722068575,0.2772420227236594,2.18369086657584,4.3419777722068575,6.500264677837875,8.406713521690056,2025-10-04,2025-10-11,mlf_lightgbm
05,2025-10-04,2025-10-18,2,2,4.336784412832466,4.336784412832466,0.0,3.3644137610966975,4.336784412832466,5.309155064568234,13.003347977405177,2025-10-04,2025-10-18,mlf_lightgbm
05,2025-10-04,2025-10-25,3,3,4.091300701670779,4.091300701670779,0.0,2.6731659070206684,4.091300701670779,5.509435496320889,9.21744845861043,2025-10-04,2025-10-25,mlf_lightgbm
05,2025-10-04,2025-11-01,4,4,4.005299937792436,4.005299937792436,0.7996104250868304,2.1032413769076324,4.005299937792436,5.9073584986772385,7.21098945049804,2025-10-04,2025-11-01,mlf_lightgbm
06,2025-10-04,2025-10-11,1,1,78.50194514581602,78.50194514581602,61.163074822108776,62.85541552458193,78.50194514581602,94.14847476705012,95.84081546952326,2025-10-04,2025-10-11,mlf_lightgbm
06,2025-10-04,2025-10-18,2,2,75.20393884179911,75.20393884179911,52.59884475721409,57.487190484358706,75.20393884179911,92.92068719923952,97.80903292638413,2025-10-04,2025-10-18,mlf_lightgbm
06,2025-10-04,2025-10-25,3,3,78.78948752648498,78.78948752648498,26.80027356499392,54.80629288414612,78.78948752648498,102.77268216882385,130.77870148797604,2025-10-04,2025-10-25,mlf_lightgbm
06,2025-10-04,2025-11-01,4,4,77.45447752564567,77.45447752564567,23.690396157906175,48.58237980505088,77.45447752564567,106.32657524624047,131.21855889338516,2025-10-04,2025-11-01,mlf_lightgbm
08,2025-10-04,2025-10-11,1,1,8.033971787214975,8.033971787214975,0.0,5.676122164348046,8.033971787214975,10.391821410081905,17.636862252282526,2025-10-04,2025-10-11,mlf_lightgbm
08,2025-10-04,2025-10-18,2,2,7.397887439827719,7.397887439827719,0.0,3.856232779200509,7.397887439827719,10.93954210045493,17.282614953770885,2025-10-04,2025-10-18,mlf_lightgbm
08,2025-10-04,2025-10-25,3,3,8.32766484285065,8.32766484285065,0.0,5.983779437557038,8.32766484285065,10.671550248144262,18.572555608845214,2025-10-04,2025-10-25,mlf_lightgbm
08,2025-10-04,2025-11-01,4,4,9.615897367968575,9.615897367968575,1.5436151882809404,7.3136734576328255,9.615897367968575,11.918121278304325,17.68817954765621,2025-10-04,2025-11-01,mlf_lightgbm
09,2025-10-04,2025-10-11,1,1,7.62497912548473,7.62497912548473,4.233224722225612,7.128334443733618,7.62497912548473,8.121623807235842,11.016733528743845,2025-10-04,2025-10-11,mlf_lightgbm
09,2025-10-04,2025-10-18,2,2,7.296618062275906,7.296618062275906,4.220608089140633,5.384934006934531,7.296618062275906,9.208302117617281,10.372628035411179,2025-10-04,2025-10-18,mlf_lightgbm
09,2025-10-04,2025-10-25,3,3,6.069530688128041,6.069530688128041,3.496139888697648,4.279504578838949,6.069530688128041,7.859556797417133,8.642921487558434,2025-10-04,2025-10-25,mlf_lightgbm
09,2025-10-04,2025-11-01,4,4,5.889573841278038,5.889573841278038,0.0,3.725285790248661,5.889573841278038,8.053861892307415,11.820800913530736,2025-10-04,2025-11-01,mlf_lightgbm
10,2025-10-04,2025-10-11,1,1,1.7095285609670101,1.7095285609670101,0.10343429624653333,0.2897136397371135,1.7095285609670101,3.129343482196907,3.3156228256874867,2025-10-04,2025-10-11,mlf_lightgbm
10,2025-10-04,2025-10-18,2,2,1.9501236298309739,1.9501236298309739,0.0,0.01679599141307031,1.9501236298309739,3.8834512682488773,4.089302325440682,2025-10-04,2025-10-18,mlf_lightgbm
10,2025-10-04,2025-10-25,3,3,1.9501236298309739,1.9501236298309739,0.0,1.1599502382597995,1.9501236298309739,2.740297021402148,3.927730256917813,2025-10-04,2025-10-25,mlf_lightgbm
10,2025-10-04,2025-11-01,4,4,2.0392932637058503,2.0392932637058503,0.0,0.799980091492404,2.0392932637058503,3.2786064359192966,4.279862484565297,2025-10-04,2025-11-01,mlf_lightgbm
11,2025-10-04,2025-10-11,1,1,4.431125030806334,4.431125030806334,2.8646031837086876,3.289542871519001,4.431125030806334,5.572707190093667,5.99764687790398,2025-10-04,2025-10-11,mlf_lightgbm
11,2025-10-04,2025-10-18,2,2,3.8544290036741913,3.8544290036741913,1.8299961960809243,1.8299961960809243,3.8544290036741913,5.878861811267458,5.878861811267458,2025-10-04,2025-10-18,mlf_lightgbm
