location,cutoff_date,forecast_date,forecast_week,horizon,forecast,predicted,predicted_q05,predicted_q25,predicted_q50,predicted_q75,predicted_q95,reference_date,target_end_date,model_family
01,2025-10-04,2025-10-11,1,1,19.0,19.0,0.0,12.0,19.0,22.0,29.0,2025-10-04,2025-10-11,persistence
01,2025-10-04,2025-10-18,2,2,19.0,19.0,0.0,7.0,19.0,22.0,29.0,2025-10-04,2025-10-18,persistence
01,2025-10-04,2025-10-25,3,3,18.0,18.0,0.0,3.0,18.0,22.0,29.0,2025-10-04,2025-10-25,persistence
01,2025-10-04,2025-11-01,4,4,17.0,17.0,0.0,0.0,17.0,21.0,29.0,2025-10-04,2025-11-01,persistence
02,2025-10-04,2025-10-11,1,1,0.0,0.0,0.0,0.0,0.0,3.0,10.0,2025-10-04,2025-10-11,persistence
02,2025-10-04,2025-10-18,2,2,0.0,0.0,0.0,0.0,0.0,3.0,10.0,2025-10-04,2025-10-18,persistence
02,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,3.0,10.0,2025-10-04,2025-10-25,persistence
02,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2025-10-04,2025-11-01,persistence
04,2025-10-04,2025-10-11,1,1,17.0,17.0,0.0,10.0,17.0,20.0,27.0,2025-10-04,2025-10-11,persistence
04,2025-10-04,2025-10-18,2,2,17.0,17.0,0.0,5.0,17.0,20.0,27.0,2025-10-04,2025-10-18,persistence
04,2025-10-04,2025-10-25,3,3,16.0,16.0,0.0,1.0,16.0,20.0,27.0,2025-10-04,2025-10-25,persistence
04,2025-10-04,2025-11-01,4,4,15.0,15.0,0.0,0.0,15.0,19.0,27.0,2025-10-04,2025-11-01,persistence
05,2025-10-04,2025-10-11,1,1,2.0,2.0,0.0,0.0,2.0,5.0,12.0,2025-10-04,2025-10-11,persistence
05,2025-10-04,2025-10-18,2,2,2.0,2.0,0.0,0.0,2.0,5.0,12.0,2025-10-04,2025-10-18,persistence
05,2025-10-04,2025-10-25,3,3,1.0,1.0,0.0,0.0,1.0,5.0,12.0,2025-10-04,2025-10-25,persistence
05,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,4.0,12.0,2025-10-04,2025-11-01,persistence
06,2025-10-04,2025-10-11,1,1,90.0,90.0,5.0,83.0,90.0,93.0,100.0,2025-10-04,2025-10-11,persistence
06,2025-10-04,2025-10-18,2,2,90.0,90.0,0.0,78.0,90.0,93.0,100.0,2025-10-04,2025-10-18,persistence
06,2025-10-04,2025-10-25,3,3,89.0,89.0,0.0,74.0,89.0,93.0,100.0,2025-10-04,2025-10-25,persistence
06,2025-10-04,2025-11-01,4,4,88.0,88.0,0.0,68.0,88.0,92.0,100.0,2025-10-04,2025-11-01,persistence
08,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,0.0,6.0,9.0,16.0,2025-10-04,2025-10-11,persistence
08,2025-10-04,2025-10-18,2,2,6.0,6.0,0.0,0.0,6.0,9.0,16.0,2025-10-04,2025-10-18,persistence
08,2025-10-04,2025-10-25,3,3,5.0,5.0,0.0,0.0,5.0,9.0,16.0,2025-10-04,2025-10-25,persistence
08,2025-10-04,2025-11-01,4,4,4.0,4.0,0.0,0.0,4.0,8.0,16.0,2025-10-04,2025-11-01,persistence
09,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,0.0,6.0,9.0,16.0,2025-10-04,2025-10-11,persistence
09,2025-10-04,2025-10-18,2,2,6.0,6.0,0.0,0.0,6.0,9.0,16.0,2025-10-04,2025-10-18,persistence
09,2025-10-04,2025-10-25,3,3,5.0,5.0,0.0,0.0,5.0,9.0,16.0,2025-10-04,2025-10-25,persistence
09,2025-10-04,2025-11-01,4,4,4.0,4.0,0.0,0.0,4.0,8.0,16.0,2025-10-04,2025-11-01,persistence
10,2025-10-04,2025-10-11,1,1,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-11,persistence
10,2025-10-04,2025-10-18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-18,persistence
10,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-25,persistence
10,2025-10-04,2025-11-01,4,4,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2025-10-04,2025-11-01,persistence
11,2025-10-04,2025-10-11,1,1,4.0,4.0,0.0,0.0,4.0,7.0,14.0,2025-10-04,2025-10-11,persistence
11,2025-10-04,2025-10-18,2,2,4.0,4.0,0.0,0.0,4.0,7.0,14.0,2025-10-04,2025-10-18,persistence
11,2025-10-04,2025-10-25,3,3,3.0,3.0,0.0,0.0,3.0,7.0,14.0,2025-10-04,2025-10-25,persistence
11,2025-10-04,2025-11-01,4,4,2.0,2.0,0.0,0.0,2.0,6.0,14.0,2025-10-04,2025-11-01,persistence
12,2025-10-04,2025-10-11,1,1,140.0,140.0,55.0,133.0,140.0,143.0,150.0,2025-10-04,2025-10-11,persistence
12,2025-10-04,2025-10-18,2,2,140.0,140.0,0.0,128.0,140.0,143.0,150.0,2025-10-04,2025-10-18,persistence
12,2025-10-04,2025-10-25,3,3,139.0,139.0,0.0,124.0,139.0,143.0,150.0,2025-10-04,2025-10-25,persistence
12,2025-10-04,2025-11-01,4,4,138.0,138.0,0.0,118.0,138.0,142.0,150.0,2025-10-04,2025-11-01,persistence
13,2025-10-04,2025-10-11,1,1,25.0,25.0,0.0,18.0,25.0,28.0,35.0,2025-10-04,2025-10-11,persistence
13,2025-10-04,2025-10-18,2,2,25.0,25.0,0.0,13.0,25.0,28.0,35.0,2025-10-04,2025-10-18,persistence
13,2025-10-04,2025-10-25,3,3,24.0,24.0,0.0,9.0,24.0,28.0,35.0,2025-10-04,2025-10-25,persistence
13,2025-10-04,2025-11-01,4,4,23.0,23.0,0.0,3.0,23.0,27.0,35.0,2025-10-04,2025-11-01,persistence
15,2025-10-04,2025-10-11,1,1,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-11,persistence
15,2025-10-04,2025-10-18,2,2,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-18,persistence
15,2025-10-04,2025-10-25,3,3,0.0,0.0,0.0,0.0,0.0,2.0,9.0,2025-10-04,2025-10-25,persistence
