location,cutoff_date,forecast_date,forecast_week,horizon,forecast,predicted,predicted_q05,predicted_q25,predicted_q50,predicted_q75,predicted_q95,reference_date,target_end_date,model_family
01,2025-10-04,2025-10-11,1,1,8.0,8.0,0.0,3.0,8.0,23.0,163.79999999999927,2025-10-04,2025-10-11,seasonal_naive
01,2025-10-04,2025-10-18,2,2,11.0,11.0,0.0,7.0,11.0,24.0,141.0,2025-10-04,2025-10-18,seasonal_naive
01,2025-10-04,2025-10-25,3,3,14.0,14.0,0.0,10.0,14.0,26.0,133.0,2025-10-04,2025-10-25,seasonal_naive
01,2025-10-04,2025-11-01,4,4,18.0,18.0,3.0,14.0,18.0,29.0,133.29999999999973,2025-10-04,2025-11-01,seasonal_naive
02,2025-10-04,2025-10-11,1,1,7.0,7.0,0.0,2.0,7.0,22.0,162.79999999999927,2025-10-04,2025-10-11,seasonal_naive
02,2025-10-04,2025-10-18,2,2,6.0,6.0,0.0,2.0,6.0,19.0,136.0,2025-10-04,2025-10-18,seasonal_naive
02,2025-10-04,2025-10-25,3,3,8.0,8.0,0.0,4.0,8.0,20.0,127.0,2025-10-04,2025-10-25,seasonal_naive
02,2025-10-04,2025-11-01,4,4,13.0,13.0,0.0,9.0,13.0,24.0,128.29999999999973,2025-10-04,2025-11-01,seasonal_naive
04,2025-10-04,2025-10-11,1,1,10.0,10.0,0.0,5.0,10.0,25.0,165.79999999999927,2025-10-04,2025-10-11,seasonal_naive
04,2025-10-04,2025-10-18,2,2,19.0,19.0,2.0,15.0,19.0,32.0,149.0,2025-10-04,2025-10-18,seasonal_naive
04,2025-10-04,2025-10-25,3,3,192.0,192.0,176.0,188.0,192.0,204.0,311.0,2025-10-04,2025-10-25,seasonal_naive
04,2025-10-04,2025-11-01,4,4,146.0,146.0,131.0,142.0,146.0,157.0,261.2999999999997,2025-10-04,2025-11-01,seasonal_naive
05,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
05,2025-10-04,2025-10-18,2,2,7.0,7.0,0.0,3.0,7.0,20.0,137.0,2025-10-04,2025-10-18,seasonal_naive
05,2025-10-04,2025-10-25,3,3,6.0,6.0,0.0,2.0,6.0,18.0,125.0,2025-10-04,2025-10-25,seasonal_naive
05,2025-10-04,2025-11-01,4,4,11.0,11.0,0.0,7.0,11.0,22.0,126.29999999999973,2025-10-04,2025-11-01,seasonal_naive
06,2025-10-04,2025-10-11,1,1,36.0,36.0,18.68571428571429,31.0,36.0,51.0,191.79999999999927,2025-10-04,2025-10-11,seasonal_naive
06,2025-10-04,2025-10-18,2,2,80.0,80.0,63.0,76.0,80.0,93.0,210.0,2025-10-04,2025-10-18,seasonal_naive
06,2025-10-04,2025-10-25,3,3,142.0,142.0,126.0,138.0,142.0,154.0,261.0,2025-10-04,2025-10-25,seasonal_naive
06,2025-10-04,2025-11-01,4,4,117.0,117.0,102.0,113.0,117.0,128.0,232.29999999999973,2025-10-04,2025-11-01,seasonal_naive
08,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
08,2025-10-04,2025-10-18,2,2,7.0,7.0,0.0,3.0,7.0,20.0,137.0,2025-10-04,2025-10-18,seasonal_naive
08,2025-10-04,2025-10-25,3,3,19.0,19.0,3.0,15.0,19.0,31.0,138.0,2025-10-04,2025-10-25,seasonal_naive
08,2025-10-04,2025-11-01,4,4,30.0,30.0,15.0,26.0,30.0,41.0,145.29999999999973,2025-10-04,2025-11-01,seasonal_naive
09,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
09,2025-10-04,2025-10-18,2,2,10.0,10.0,0.0,6.0,10.0,23.0,140.0,2025-10-04,2025-10-18,seasonal_naive
09,2025-10-04,2025-10-25,3,3,11.0,11.0,0.0,7.0,11.0,23.0,130.0,2025-10-04,2025-10-25,seasonal_naive
09,2025-10-04,2025-11-01,4,4,15.0,15.0,0.0,11.0,15.0,26.0,130.29999999999973,2025-10-04,2025-11-01,seasonal_naive
10,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
10,2025-10-04,2025-10-18,2,2,5.0,5.0,0.0,1.0,5.0,18.0,135.0,2025-10-04,2025-10-18,seasonal_naive
10,2025-10-04,2025-10-25,3,3,5.0,5.0,0.0,1.0,5.0,17.0,124.0,2025-10-04,2025-10-25,seasonal_naive
10,2025-10-04,2025-11-01,4,4,5.0,5.0,0.0,1.0,5.0,16.0,120.29999999999973,2025-10-04,2025-11-01,seasonal_naive
11,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
11,2025-10-04,2025-10-18,2,2,5.0,5.0,0.0,1.0,5.0,18.0,135.0,2025-10-04,2025-10-18,seasonal_naive
11,2025-10-04,2025-10-25,3,3,5.0,5.0,0.0,1.0,5.0,17.0,124.0,2025-10-04,2025-10-25,seasonal_naive
11,2025-10-04,2025-11-01,4,4,6.0,6.0,0.0,2.0,6.0,17.0,121.29999999999973,2025-10-04,2025-11-01,seasonal_naive
12,2025-10-04,2025-10-11,1,1,23.0,23.0,5.685714285714292,18.0,23.0,38.0,178.79999999999927,2025-10-04,2025-10-11,seasonal_naive
12,2025-10-04,2025-10-18,2,2,139.0,139.0,122.0,135.0,139.0,152.0,269.0,2025-10-04,2025-10-18,seasonal_naive
12,2025-10-04,2025-10-25,3,3,119.0,119.0,103.0,115.0,119.0,131.0,238.0,2025-10-04,2025-10-25,seasonal_naive
12,2025-10-04,2025-11-01,4,4,119.0,119.0,104.0,115.0,119.0,130.0,234.29999999999973,2025-10-04,2025-11-01,seasonal_naive
13,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
13,2025-10-04,2025-10-18,2,2,10.0,10.0,0.0,6.0,10.0,23.0,140.0,2025-10-04,2025-10-18,seasonal_naive
13,2025-10-04,2025-10-25,3,3,13.0,13.0,0.0,9.0,13.0,25.0,132.0,2025-10-04,2025-10-25,seasonal_naive
13,2025-10-04,2025-11-01,4,4,19.0,19.0,4.0,15.0,19.0,30.0,134.29999999999973,2025-10-04,2025-11-01,seasonal_naive
15,2025-10-04,2025-10-11,1,1,7.0,7.0,0.0,2.0,7.0,22.0,162.79999999999927,2025-10-04,2025-10-11,seasonal_naive
15,2025-10-04,2025-10-18,2,2,6.0,6.0,0.0,2.0,6.0,19.0,136.0,2025-10-04,2025-10-18,seasonal_naive
15,2025-10-04,2025-10-25,3,3,7.0,7.0,0.0,3.0,7.0,19.0,126.0,2025-10-04,2025-10-25,seasonal_naive
15,2025-10-04,2025-11-01,4,4,8.0,8.0,0.0,4.0,8.0,19.0,123.29999999999973,2025-10-04,2025-11-01,seasonal_naive
16,2025-10-04,2025-10-11,1,1,9.0,9.0,0.0,4.0,9.0,24.0,164.79999999999927,2025-10-04,2025-10-11,seasonal_naive
16,2025-10-04,2025-10-18,2,2,11.0,11.0,0.0,7.0,11.0,24.0,141.0,2025-10-04,2025-10-18,seasonal_naive
16,2025-10-04,2025-10-25,3,3,6.0,6.0,0.0,2.0,6.0,18.0,125.0,2025-10-04,2025-10-25,seasonal_naive
16,2025-10-04,2025-11-01,4,4,11.0,11.0,0.0,7.0,11.0,22.0,126.29999999999973,2025-10-04,2025-11-01,seasonal_naive
17,2025-10-04,2025-10-11,1,1,7.0,7.0,0.0,2.0,7.0,22.0,162.79999999999927,2025-10-04,2025-10-11,seasonal_naive
17,2025-10-04,2025-10-18,2,2,10.0,10.0,0.0,6.0,10.0,23.0,140.0,2025-10-04,2025-10-18,seasonal_naive
17,2025-10-04,2025-10-25,3,3,17.0,17.0,1.0,13.0,17.0,29.0,136.0,2025-10-04,2025-10-25,seasonal_naive
17,2025-10-04,2025-11-01,4,4,32.0,32.0,17.0,28.0,32.0,43.0,147.29999999999973,2025-10-04,2025-11-01,seasonal_naive
18,2025-10-04,2025-10-11,1,1,9.0,9.0,0.0,4.0,9.0,24.0,164.79999999999927,2025-10-04,2025-10-11,seasonal_naive
18,2025-10-04,2025-10-18,2,2,8.0,8.0,0.0,4.0,8.0,21.0,138.0,2025-10-04,2025-10-18,seasonal_naive
18,2025-10-04,2025-10-25,3,3,8.0,8.0,0.0,4.0,8.0,20.0,127.0,2025-10-04,2025-10-25,seasonal_naive
18,2025-10-04,2025-11-01,4,4,19.0,19.0,4.0,15.0,19.0,30.0,134.29999999999973,2025-10-04,2025-11-01,seasonal_naive
19,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
19,2025-10-04,2025-10-18,2,2,6.0,6.0,0.0,2.0,6.0,19.0,136.0,2025-10-04,2025-10-18,seasonal_naive
19,2025-10-04,2025-10-25,3,3,9.0,9.0,0.0,5.0,9.0,21.0,128.0,2025-10-04,2025-10-25,seasonal_naive
19,2025-10-04,2025-11-01,4,4,10.0,10.0,0.0,6.0,10.0,21.0,125.29999999999973,2025-10-04,2025-11-01,seasonal_naive
20,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
20,2025-10-04,2025-10-18,2,2,6.0,6.0,0.0,2.0,6.0,19.0,136.0,2025-10-04,2025-10-18,seasonal_naive
20,2025-10-04,2025-10-25,3,3,8.0,8.0,0.0,4.0,8.0,20.0,127.0,2025-10-04,2025-10-25,seasonal_naive
20,2025-10-04,2025-11-01,4,4,15.0,15.0,0.0,11.0,15.0,26.0,130.29999999999973,2025-10-04,2025-11-01,seasonal_naive
21,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
21,2025-10-04,2025-10-18,2,2,7.0,7.0,0.0,3.0,7.0,20.0,137.0,2025-10-04,2025-10-18,seasonal_naive
21,2025-10-04,2025-10-25,3,3,9.0,9.0,0.0,5.0,9.0,21.0,128.0,2025-10-04,2025-10-25,seasonal_naive
21,2025-10-04,2025-11-01,4,4,12.0,12.0,0.0,8.0,12.0,23.0,127.29999999999973,2025-10-04,2025-11-01,seasonal_naive
22,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
22,2025-10-04,2025-10-18,2,2,18.0,18.0,1.0,14.0,18.0,31.0,148.0,2025-10-04,2025-10-18,seasonal_naive
22,2025-10-04,2025-10-25,3,3,28.0,28.0,12.0,24.0,28.0,40.0,147.0,2025-10-04,2025-10-25,seasonal_naive
22,2025-10-04,2025-11-01,4,4,32.0,32.0,17.0,28.0,32.0,43.0,147.29999999999973,2025-10-04,2025-11-01,seasonal_naive
23,2025-10-04,2025-10-11,1,1,6.0,6.0,0.0,1.0,6.0,21.0,161.79999999999927,2025-10-04,2025-10-11,seasonal_naive
