location,cutoff_date,forecast_date,forecast_week,horizon,forecast,predicted,predicted_q05,predicted_q25,predicted_q50,predicted_q75,predicted_q95,reference_date,target_end_date,model_family
01,2025-10-04,2025-10-11,1,1,20.999699970016,20.999699970016,0.0,0.0,20.999699970016,54.264170165166945,102.12055382021441,2025-10-04,2025-10-11,sf_autoets
01,2025-10-04,2025-10-18,2,2,20.999699970016,20.999699970016,0.0,0.0,20.999699970016,68.04041277071607,135.7161757090769,2025-10-04,2025-10-18,sf_autoets
01,2025-10-04,2025-10-25,3,3,20.999699970016,20.999699970016,0.0,0.0,20.999699970016,78.61161144873547,161.4957735186951,2025-10-04,2025-10-25,sf_autoets
01,2025-10-04,2025-11-01,4,4,20.999699970016,20.999699970016,0.0,0.0,20.999699970016,87.52365075216417,183.2292396944483,2025-10-04,2025-11-01,sf_autoets
02,2025-10-04,2025-10-11,1,1,1.9222813492706254,1.9222813492706254,0.0,0.0,1.9222813492706254,6.717986618891635,13.61739340135623,2025-10-04,2025-10-11,sf_autoets
02,2025-10-04,2025-10-18,2,2,1.9222813492706254,1.9222813492706254,0.0,0.0,1.9222813492706254,8.42670102669946,17.784373092730146,2025-10-04,2025-10-18,sf_autoets
02,2025-10-04,2025-10-25,3,3,1.9222813492706254,1.9222813492706254,0.0,0.0,1.9222813492706254,9.771877622148367,21.064806340635155,2025-10-04,2025-10-25,sf_autoets
02,2025-10-04,2025-11-01,4,4,1.9222813492706254,1.9222813492706254,0.0,0.0,1.9222813492706254,10.91810526674638,23.860070016593145,2025-10-04,2025-11-01,sf_autoets
04,2025-10-04,2025-10-11,1,1,31.17976566921981,31.17976566921981,0.0,18.251010582540967,31.17976566921981,44.10852075589865,62.70865056348063,2025-10-04,2025-10-11,sf_autoets
04,2025-10-04,2025-10-18,2,2,43.3589132100433,43.3589132100433,0.0,19.830948749654095,43.3589132100433,66.8868776704325,100.73570457893508,2025-10-04,2025-10-18,sf_autoets
04,2025-10-04,2025-10-25,3,3,55.53806075086679,55.53806075086679,0.0,19.577577152119638,55.53806075086679,91.49854434961395,143.23358445175728,2025-10-04,2025-10-25,sf_autoets
04,2025-10-04,2025-11-01,4,4,67.71720829169028,67.71720829169028,0.0,17.017378072600643,67.71720829169028,118.41703851077992,191.3570406204246,2025-10-04,2025-11-01,sf_autoets
05,2025-10-04,2025-10-11,1,1,3.885827809376772,3.885827809376772,0.0,0.0,3.885827809376772,31.41271606747432,71.01464922861541,2025-10-04,2025-10-11,sf_autoets
05,2025-10-04,2025-10-18,2,2,3.7710485845383483,3.7710485845383483,0.0,0.0,3.7710485845383483,45.92827304138862,106.5783388804974,2025-10-04,2025-10-18,sf_autoets
05,2025-10-04,2025-10-25,3,3,3.679225092642611,3.679225092642611,0.0,0.0,3.679225092642611,58.76299089298357,138.0100017078491,2025-10-04,2025-10-25,sf_autoets
05,2025-10-04,2025-11-01,4,4,3.605766209505913,3.605766209505913,0.0,0.0,3.605766209505913,70.68100937782062,167.17972262912613,2025-10-04,2025-11-01,sf_autoets
06,2025-10-04,2025-10-11,1,1,96.72571732932876,96.72571732932876,41.250905388452104,73.97767979268514,96.72571732932876,119.47375486597238,152.2005292702054,2025-10-04,2025-10-11,sf_autoets
06,2025-10-04,2025-10-18,2,2,101.44963450882672,101.44963450882672,18.76358106052173,67.54333754645725,101.44963450882672,135.3559314711962,184.13568795713172,2025-10-04,2025-10-18,sf_autoets
06,2025-10-04,2025-10-25,3,3,106.17355168832466,106.17355168832466,0.0,62.43545495740472,106.17355168832466,149.9116484192446,212.8360577129061,2025-10-04,2025-10-25,sf_autoets
06,2025-10-04,2025-11-01,4,4,110.89746886782262,110.89746886782262,0.0,57.73664432215527,110.89746886782262,164.05829341349,240.53883857025545,2025-10-04,2025-11-01,sf_autoets
08,2025-10-04,2025-10-11,1,1,8.000099949997,8.000099949997,0.0,0.0,8.000099949997,41.07959602443264,88.66986413832541,2025-10-04,2025-10-11,sf_autoets
08,2025-10-04,2025-10-18,2,2,8.000099949997,8.000099949997,0.0,0.0,8.000099949997,54.77923291981194,122.07867046745346,2025-10-04,2025-10-18,sf_autoets
08,2025-10-04,2025-10-25,3,3,8.000099949997,8.000099949997,0.0,0.0,8.000099949997,65.29164821216787,147.71491537202758,2025-10-04,2025-10-25,sf_autoets
08,2025-10-04,2025-11-01,4,4,8.000099949997,8.000099949997,0.0,0.0,8.000099949997,74.1541302364858,169.3275280132927,2025-10-04,2025-11-01,sf_autoets
09,2025-10-04,2025-10-11,1,1,8.101491510713736,8.101491510713736,0.0,0.0,8.101491510713736,31.819584357347225,65.94194206139358,2025-10-04,2025-10-11,sf_autoets
09,2025-10-04,2025-10-18,2,2,8.203092140797773,8.203092140797773,0.0,0.0,8.203092140797773,44.52727540100159,96.78555698066643,2025-10-04,2025-10-18,sf_autoets
09,2025-10-04,2025-10-25,3,3,8.284373319327322,8.284373319327322,0.0,0.0,8.284373319327322,55.74664355212951,124.02888583872468,2025-10-04,2025-10-25,sf_autoets
09,2025-10-04,2025-11-01,4,4,8.349398801725291,8.349398801725291,0.0,0.0,8.349398801725291,66.1441023949926,149.2912408331793,2025-10-04,2025-11-01,sf_autoets
10,2025-10-04,2025-10-11,1,1,0.9999000199979998,0.9999000199979998,0.0,0.0,0.9999000199979998,11.754936102662148,27.22781542333995,2025-10-04,2025-10-11,sf_autoets
10,2025-10-04,2025-10-18,2,2,0.9999000199979998,0.9999000199979998,0.0,0.0,0.9999000199979998,16.209057435032392,38.089919148861746,2025-10-04,2025-10-18,sf_autoets
10,2025-10-04,2025-10-25,3,3,0.9999000199979998,0.9999000199979998,0.0,0.0,0.9999000199979998,19.626927088512808,46.42495358687995,2025-10-04,2025-10-25,sf_autoets
10,2025-10-04,2025-11-01,4,4,0.9999000199979998,0.9999000199979998,0.0,0.0,0.9999000199979998,22.508358950081096,53.45179668855243,2025-10-04,2025-11-01,sf_autoets
11,2025-10-04,2025-10-11,1,1,4.848540126077929,4.848540126077929,0.0,0.0,4.848540126077929,17.90654846794608,36.69263023365979,2025-10-04,2025-10-11,sf_autoets
11,2025-10-04,2025-10-18,2,2,4.848540126077929,4.848540126077929,0.0,0.0,4.848540126077929,21.40390089568157,45.22149642297683,2025-10-04,2025-10-18,sf_autoets
11,2025-10-04,2025-10-25,3,3,4.848540126077929,4.848540126077929,0.0,0.0,4.848540126077929,24.28171687531695,52.239521604865885,2025-10-04,2025-10-25,sf_autoets
11,2025-10-04,2025-11-01,4,4,4.848540126077929,4.848540126077929,0.0,0.0,4.848540126077929,26.785193173491454,58.34465821790155,2025-10-04,2025-11-01,sf_autoets
12,2025-10-04,2025-10-11,1,1,166.84609219563802,166.84609219563802,77.11410942120351,130.0505368620612,166.84609219563802,203.64164752921485,256.5780749700725,2025-10-04,2025-10-11,sf_autoets
12,2025-10-04,2025-10-18,2,2,183.85323808008897,183.85323808008897,56.14832003615567,131.48647616346472,183.85323808008897,236.21999999671323,311.5581561240223,2025-10-04,2025-10-18,sf_autoets
12,2025-10-04,2025-10-25,3,3,200.86038396453992,200.86038396453992,37.62660525589794,133.92463429007807,200.86038396453992,267.79613363900177,364.0941626731819,2025-10-04,2025-10-25,sf_autoets
12,2025-10-04,2025-11-01,4,4,217.86752984899087,217.86752984899087,19.504179266958346,136.52652503867034,217.86752984899087,299.2085346593114,416.23088043102337,2025-10-04,2025-11-01,sf_autoets
13,2025-10-04,2025-10-11,1,1,26.999499979996997,26.999499979996997,0.0,0.0,26.999499979996997,87.98340000451043,175.71871937777996,2025-10-04,2025-10-11,sf_autoets
13,2025-10-04,2025-10-18,2,2,26.999499979996997,26.999499979996997,0.0,0.0,26.999499979996997,113.23944637595444,237.3097212639426,2025-10-04,2025-10-18,sf_autoets
13,2025-10-04,2025-10-25,3,3,26.999499979996997,26.999499979996997,0.0,0.0,26.999499979996997,132.61967156930743,284.5715717088986,2025-10-04,2025-10-25,sf_autoets
13,2025-10-04,2025-11-01,4,4,26.999499979996997,26.999499979996997,0.0,0.0,26.999499979996997,148.9581525583735,324.41563117152253,2025-10-04,2025-11-01,sf_autoets
15,2025-10-04,2025-10-11,1,1,1.1437723356030645,1.1437723356030645,0.0,0.0,1.1437723356030645,6.496166439316149,14.196461204198544,2025-10-04,2025-10-11,sf_autoets
15,2025-10-04,2025-10-18,2,2,1.1437723356030645,1.1437723356030645,0.0,0.0,1.1437723356030645,8.428797081979743,18.909497275122714,2025-10-04,2025-10-18,sf_autoets
15,2025-10-04,2025-10-25,3,3,1.1437723356030645,1.1437723356030645,0.0,0.0,1.1437723356030645,9.946899533887693,22.611638520973813,2025-10-04,2025-10-25,sf_autoets
15,2025-10-04,2025-11-01,4,4,1.1437723356030645,1.1437723356030645,0.0,0.0,1.1437723356030645,11.239242180193587,25.76322753833448,2025-10-04,2025-11-01,sf_autoets
16,2025-10-04,2025-10-11,1,1,1.9998000100019993,1.9998000100019993,0.0,0.0,1.9998000100019993,18.87765755755803,43.15921747216093,2025-10-04,2025-10-11,sf_autoets
16,2025-10-04,2025-10-18,2,2,1.9998000100019993,1.9998000100019993,0.0,0.0,1.9998000100019993,25.867501642642075,60.20509606680733,2025-10-04,2025-10-18,sf_autoets
16,2025-10-04,2025-10-25,3,3,1.9998000100019993,1.9998000100019993,0.0,0.0,1.9998000100019993,31.231157950642825,73.28524966346525,2025-10-04,2025-10-25,sf_autoets
16,2025-10-04,2025-11-01,4,4,1.9998000100019993,1.9998000100019993,0.0,0.0,1.9998000100019993,35.75298345813028,84.31246109888023,2025-10-04,2025-11-01,sf_autoets
17,2025-10-04,2025-10-11,1,1,15.62000876484596,15.62000876484596,3.793396195899666,10.770380307583988,15.62000876484596,20.46963722210793,27.44662133379225,2025-10-04,2025-10-11,sf_autoets
17,2025-10-04,2025-10-18,2,2,17.24055715701034,17.24055715701034,0.0,9.668869149742783,17.24055715701034,24.812245164277897,35.70535736676652,2025-10-04,2025-10-18,sf_autoets
17,2025-10-04,2025-10-25,3,3,18.86110554917472,18.86110554917472,0.0,8.653063565467868,18.86110554917472,29.069147532881573,43.75508633404486,2025-10-04,2025-10-25,sf_autoets
