location,cluster,forecast_date,forecast_week,predicted,predicted_q05,predicted_q25,predicted_q75,predicted_q95
US,3,2024-11-09,1,815.3845,302.7,332.30603,1101.5996,1477.622
US,3,2024-11-16,2,929.24524,86.2695,277.33453,1692.19,2013.5074
US,3,2024-11-23,3,1114.8297,23.292765,394.37683,1430.2235,2202.861
US,3,2024-11-30,4,1027.8022,5.939655075,265.50284,2049.4097,3240.3865
06,3,2024-11-09,1,173.2789,33.6,136.0673,197.47284,220.88722
06,3,2024-11-16,2,217.97227,9.575999999999999,140.79135,264.53955,320.79413
06,3,2024-11-23,3,238.16205,2.6779749393463135,165.4805,317.21576,432.94797
06,3,2024-11-30,4,249.34096,2.0023748874664307,192.65773,493.837,524.00745
48,3,2024-11-09,1,118.72315,30.9,112.21925,132.55057,175.49939
48,3,2024-11-16,2,172.5465,8.806499999999998,104.99325,236.5734,245.76105
48,3,2024-11-23,3,279.52356,2.3777549999999996,134.05267,321.95117,419.18604
48,3,2024-11-30,4,306.3962,1.8498374223709106,135.64223,470.38287,480.46918
36,4,2024-11-09,1,16.544615,4.5,9.863628,20.827396,49.77304
36,4,2024-11-16,2,27.003286,1.2825,16.037418,29.554691,72.464096
36,4,2024-11-23,3,28.911541,0.346275,19.147797,58.385532,114.20242
36,4,2024-11-30,4,61.12731,0.2869948148727417,31.02069,112.62017,171.90337
12,0,2024-11-09,1,119.94625,34.199999999999996,63.68405,174.13881,239.13188
12,0,2024-11-16,2,143.69057,9.746999999999998,92.59046,175.84969,370.15784
12,0,2024-11-23,3,199.20859,2.63169,57.528778,277.17477,473.88608
12,0,2024-11-30,4,226.6719,1.7106667757034302,62.367195,241.09259,507.75885
