location,forecast_date,forecast_week,predicted,predicted_q05,predicted_q25,predicted_q75,predicted_q95
US,2024-11-09,1,644.0571,302.7,564.80023,980.43585,1110.5134
US,2024-11-16,2,961.20856,86.2695,574.65295,1036.1545,1615.9988
US,2024-11-23,3,863.89166,23.292765,598.451,1171.6046,1806.0874
US,2024-11-30,4,1047.6165,5.939655075,575.76105,1060.0035,2096.48
06,2024-11-09,1,149.80109,33.6,124.20462,216.0783,229.25865
06,2024-11-16,2,236.62314,9.575999999999999,197.09456,293.3482,401.03116
06,2024-11-23,3,223.12967,5.929566860198975,189.52528,418.0026,433.43243
06,2024-11-30,4,345.776,4.127613067626953,230.946,485.4271,771.1943
48,2024-11-09,1,116.47167,30.9,98.186935,147.9909,154.12836
48,2024-11-16,2,218.6475,8.806499999999998,162.03735,265.2088,343.51752
48,2024-11-23,3,268.10004,5.929566860198975,195.94043,303.13223,627.4275
48,2024-11-30,4,352.24075,4.127613067626953,216.20078,370.82053,922.2107
36,2024-11-09,1,22.467787,4.5,10.07576,25.887943,27.641167
36,2024-11-16,2,31.000633,1.2825,14.298563,42.048347,46.6598
36,2024-11-23,3,44.414986,0.5119044780731201,18.03754,65.68768,93.17952
36,2024-11-30,4,54.64448,1.1614115238189697,26.906046,104.773315,115.95183
12,2024-11-09,1,123.89432,34.199999999999996,102.77066,185.19336,193.11601
12,2024-11-16,2,202.86075,9.746999999999998,133.48216,221.38538,323.55948
12,2024-11-23,3,246.36116,5.929566860198975,175.27524,328.18704,385.09714
12,2024-11-30,4,404.25815,4.127613067626953,255.94093,418.0721,884.9527
