location,cutoff_date,forecast_date,forecast_week,forecast,raw_model_output,target_mode,reference_date,target_end_date,horizon
01,2024-11-02,2024-11-09,1,23.496902465820312,3.1985466,log,2024-11-02,2024-11-09,1
01,2024-11-02,2024-11-16,2,33.293601989746094,3.5349588,log,2024-11-02,2024-11-16,2
01,2024-11-02,2024-11-23,3,53.080657958984375,3.9904766,log,2024-11-02,2024-11-23,3
01,2024-11-02,2024-11-30,4,71.515869140625,4.2838054,log,2024-11-02,2024-11-30,4
02,2024-11-02,2024-11-09,1,10.167848587036133,2.413039,log,2024-11-02,2024-11-09,1
02,2024-11-02,2024-11-16,2,18.249217987060547,2.9574704,log,2024-11-02,2024-11-16,2
02,2024-11-02,2024-11-23,3,24.184589385986328,3.2262323,log,2024-11-02,2024-11-23,3
02,2024-11-02,2024-11-30,4,33.35273361206055,3.5366817,log,2024-11-02,2024-11-30,4
04,2024-11-02,2024-11-09,1,101.4004898071289,4.6288915,log,2024-11-02,2024-11-09,1
04,2024-11-02,2024-11-16,2,113.1842041015625,4.737813,log,2024-11-02,2024-11-16,2
04,2024-11-02,2024-11-23,3,170.69219970703125,5.1457033,log,2024-11-02,2024-11-23,3
04,2024-11-02,2024-11-30,4,172.68540954589844,5.1572456,log,2024-11-02,2024-11-30,4
05,2024-11-02,2024-11-09,1,8.600808143615723,2.2618473,log,2024-11-02,2024-11-09,1
05,2024-11-02,2024-11-16,2,11.718100547790527,2.5430262,log,2024-11-02,2024-11-16,2
05,2024-11-02,2024-11-23,3,30.447296142578125,3.448313,log,2024-11-02,2024-11-23,3
05,2024-11-02,2024-11-30,4,49.71004867553711,3.926124,log,2024-11-02,2024-11-30,4
06,2024-11-02,2024-11-09,1,169.71151733398438,5.139975,log,2024-11-02,2024-11-09,1
06,2024-11-02,2024-11-16,2,197.36781311035156,5.290123,log,2024-11-02,2024-11-16,2
06,2024-11-02,2024-11-23,3,306.57244873046875,5.7287107,log,2024-11-02,2024-11-23,3
06,2024-11-02,2024-11-30,4,467.4658508300781,6.149463,log,2024-11-02,2024-11-30,4
08,2024-11-02,2024-11-09,1,26.131765365600586,3.3007052,log,2024-11-02,2024-11-09,1
08,2024-11-02,2024-11-16,2,39.6727180480957,3.7055576,log,2024-11-02,2024-11-16,2
08,2024-11-02,2024-11-23,3,60.04351806640625,4.111587,log,2024-11-02,2024-11-23,3
08,2024-11-02,2024-11-30,4,90.52594757080078,4.5166225,log,2024-11-02,2024-11-30,4
09,2024-11-02,2024-11-09,1,13.121206283569336,2.6476777,log,2024-11-02,2024-11-09,1
09,2024-11-02,2024-11-16,2,15.51844596862793,2.8044777,log,2024-11-02,2024-11-16,2
