feature_name,mean_abs_shap_h1,rank_h1,mean_abs_shap_h2,rank_h2,mean_abs_shap_h3,rank_h3,mean_abs_shap_h4,rank_h4,avg_rank
value_rolling_min_4,0.256656676530838,2,0.2711588740348816,2,0.3512187898159027,1,0.3449104428291321,1,1.5
value_rolling_mean_4,0.28841885924339294,1,0.28598615527153015,1,0.16636180877685547,4,0.18968328833580017,3,2.25
value_lag_1,0.23149093985557556,3,0.23971162736415863,3,0.23918405175209045,2,0.1596406102180481,4,3.0
value_rolling_max_4,0.16464856266975403,4,0.15778380632400513,4,0.14114606380462646,5,0.11014407873153687,6,4.75
momentum_4w,0.08751299977302551,6,0.09934347867965698,6,0.11099740117788315,7,0.11837520450353622,5,6.0
value_trend_4w,0.06139107793569565,9,0.093532033264637,8,0.11495359241962433,6,0.10425594449043274,7,7.5
week_cos,0.054224781692028046,13,0.11876305937767029,5,0.17391523718833923,3,0.06982363015413284,12,8.25
value_rolling_std_4,0.0591711662709713,10,0.09840443730354309,7,0.0790337324142456,9,0.07673909515142441,9,8.75
value_rolling_min_8,0.07397643476724625,7,0.06745763123035431,10,0.07432984560728073,10,0.07619749009609222,10,9.25
month_cos,0.03272067382931709,18,0.052757617086172104,13,0.10610298812389374,8,0.2583698034286499,2,10.25
weekly_rate,0.05588539317250252,11,0.0742785781621933,9,0.06992769241333008,11,0.03966136649250984,25,14.0
value_lag_52,0.023380227386951447,23,0.035991474986076355,19,0.051129791885614395,14,0.08578398823738098,8,16.0
rate_trend_4w,0.05144655331969261,14,0.055669885128736496,12,0.04217192158102989,18,0.04741084575653076,21,16.25
momentum_4w_pct,0.04678483307361603,15,0.045973870903253555,16,0.05958281084895134,12,0.04513979330658913,23,16.5
day_of_year,0.037758782505989075,16,0.0364660806953907,18,0.04082862660288811,19,0.05509664863348007,17,17.5
value_rolling_mean_8,0.10608043521642685,5,0.03459751605987549,20,0.027530090883374214,27,0.050208110362291336,19,17.75
rate_lag_4,0.015875382348895073,25,0.03309445455670357,21,0.04975208640098572,15,0.07265811413526535,11,18.0
wow_change,0.032133396714925766,19,0.03214390203356743,22,0.047186873853206635,16,0.04938916489481926,20,19.25
season_severity_ratio,0.013810946606099606,26,0.032060008496046066,23,0.0541231632232666,13,0.06104537472128868,15,19.25
recent_vs_historical,0.031995248049497604,20,0.03988344222307205,17,0.03153098002076149,25,0.0567559190094471,16,19.5
wow_pct_change,0.03275710716843605,17,0.04772431403398514,15,0.03121144138276577,26,0.03667648136615753,26,21.0
week_of_year,0.025875398889183998,22,0.051573533564805984,14,0.03256288915872574,24,0.030565878376364708,28,22.0
day_cos,0.018693050369620323,24,0.019899601116776466,29,0.03645835816860199,23,0.06226982921361923,14,22.5
year,0.012079009786248207,28,0.0255301333963871,24,0.03915698453783989,22,0.05451960489153862,18,23.0
rate_rolling_mean_4,0.009016760624945164,34,0.025292078033089638,25,0.04494216665625572,17,0.040129177272319794,24,25.0
us_total_rolling_mean_4,0.06755872815847397,8,0.061986327171325684,11,0.009938950650393963,43,0.01602717861533165,39,25.25
week_sin,0.011802369728684425,30,0.017482958734035492,32,0.03940867632627487,21,0.03099522367119789,27,27.5
us_total_rolling_mean_8,0.012074552476406097,29,0.024545377120375633,26,0.022612189874053,31,0.02818848192691803,30,29.0
month,0.004291008226573467,40,0.020881149917840958,28,0.0398067981004715,20,0.026146359741687775,31,29.75
us_total_lag_4,0.005083431489765644,38,0.018487049266695976,31,0.0261237733066082,29,0.045439399778842926,22,30.0
day_sin,0.006657536141574383,35,0.008836821652948856,37,0.017586257308721542,36,0.06644097715616226,13,30.25
us_total_rolling_std_8,0.011001884005963802,32,0.015838149935007095,33,0.02653534896671772,28,0.030068423599004745,29,30.5
value_lag_3,0.055474113672971725,12,0.006084053311496973,40,0.01911851577460766,34,0.019675910472869873,36,30.5
