feature,mean_abs_shap,rank
value_rolling_min_4,0.34491044,1
month_cos,0.2583698,2
value_rolling_mean_4,0.18968329,3
value_lag_1,0.15964061,4
momentum_4w,0.118375205,5
value_rolling_max_4,0.11014408,6
value_trend_4w,0.104255944,7
value_lag_52,0.08578399,8
value_rolling_std_4,0.076739095,9
value_rolling_min_8,0.07619749,10
rate_lag_4,0.072658114,11
week_cos,0.06982363,12
day_sin,0.06644098,13
day_cos,0.06226983,14
season_severity_ratio,0.061045375,15
recent_vs_historical,0.05675592,16
day_of_year,0.05509665,17
year,0.054519605,18
value_rolling_mean_8,0.05020811,19
wow_change,0.049389165,20
rate_trend_4w,0.047410846,21
us_total_lag_4,0.0454394,22
momentum_4w_pct,0.045139793,23
rate_rolling_mean_4,0.040129177,24
weekly_rate,0.039661366,25
wow_pct_change,0.03667648,26
week_sin,0.030995224,27
week_of_year,0.030565878,28
us_total_rolling_std_8,0.030068424,29
us_total_rolling_mean_8,0.028188482,30
month,0.02614636,31
us_total_lag_1,0.022782736,32
recent_severity_ratio,0.021453671,33
season_phase_sin,0.020905409,34
location_name,0.020146098,35
value_lag_3,0.01967591,36
yoy_diff,0.017746452,37
rate_lag_1,0.016089238,38
us_total_rolling_mean_4,0.016027179,39
value_lag_2,0.01558279,40
us_total_lag_3,0.014939438,41
us_total_rolling_std_4,0.014694907,42
acceleration,0.014668374,43
value_rolling_max_8,0.012738487,44
value_rolling_std_8,0.008820604,45
value_lag_12,0.005830614,46
value_lag_8,0.0057612434,47
us_total_lag_2,0.005681521,48
value_lag_4,0.003988071,49
